Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
GRIP1	gene	GRIP1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fraser syndrome 219000				22510445;24700879;14730302;24357607		False	3	0;0;0	1.120	False		ENSG00000155974	ENSG00000155974	HGNC:18708													
HNF1B	gene	HNF1B	Expert Review;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Other;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Diabetes mellitus, noninsulin-dependent	 125853;Renal cysts and diabetes syndrome	137920;{Renal cell carcinoma} 144700"						False	3	0;0;0	1.120	False		ENSG00000108753	ENSG00000275410	HGNC:11630													
HPSE2	gene	HPSE2	Expert Review;Expert Review Green;Radboud University Medical Center, Nijmegen	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Urofacial syndrome 1 236730				20560210;20560209		False	3	0;0;0	1.120	False		ENSG00000172987	ENSG00000172987	HGNC:18374													
INF2	gene	INF2	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Charcot-Marie-Tooth disease, dominant intermediate E 614455;Glomerulosclerosis, focal segmental, 5 613237						False	3	0;0;0	1.120	False		ENSG00000203485	ENSG00000203485	HGNC:23791													
INVS	gene	INVS	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 2, infantile 602088						False	3	0;0;0	1.120	False		ENSG00000119509	ENSG00000119509	HGNC:17870													
ITGA3	gene	ITGA3	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital 614748						False	3	0;0;0	1.120	False		ENSG00000005884	ENSG00000005884	HGNC:6139													
ITGA8	gene	ITGA8	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal hypodysplasia/aplasia 1, 191830						False	3	0;0;0	1.120	False		ENSG00000077943	ENSG00000077943	HGNC:6144													
LAMB2	gene	LAMB2	Eligibility statement prior genetic testing;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 5, with or without ocular abnormalities 614199;Pierson syndrome 609049						False	3	0;0;0	1.120	False		ENSG00000172037	ENSG00000172037	HGNC:6487													
LMX1B	gene	LMX1B	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Nail-patella syndrome 161200						False	3	0;0;0	1.120	False		ENSG00000136944	ENSG00000136944	HGNC:6654													
LRIG2	gene	LRIG2	Expert Review;Expert Review Green;Radboud University Medical Center, Nijmegen	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Urofacial syndrome 2 615112				Stuart HM, Roberts NA, Bergu B, Daly SB, Urquhart JE, Bhaskar S, Dickerson J, Mermerkaya M, Silay MS, Lewis MA, Olondriz BO, Gener B, Beetz C, Varga RE, G lp nar O, S er E, Yal nkaya F, G c k A, Yue WW, Erdogan F, Berry A, Hanley NA, McKenzie EA, Hilton EN, Woolf AS, Newman WG. LRIG2 mutations cause urofacial syndrome. Am J Hum Genet 92:259-264, 2013.		False	3	0;0;0	1.120	False		ENSG00000198799	ENSG00000198799	HGNC:20889													
