Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
NPHS2	gene	NPHS2	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 2 #600995						False	3	100;0;0	5.2	True		ENSG00000116218	ENSG00000116218	HGNC:13394													
NUP107	gene	NUP107	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 11 #616730				26411495;30179222		False	3	100;0;0	5.2	False		ENSG00000111581	ENSG00000111581	HGNC:29914													
NUP133	gene	NUP133	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	?Galloway-Mowat syndrome 8 618349;Nephrotic syndrome, type 18 618177				30179222;30427554		False	3	100;0;0	5.2	False		ENSG00000069248	ENSG00000069248	HGNC:18016													
NUP85	gene	NUP85	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 17 #618176				30179222		False	3	100;0;0	5.2	False		ENSG00000125450	ENSG00000125450	HGNC:8734													
NUP93	gene	NUP93	Expert Review Green;Literature;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Early-Childhood-Onset Steroid-Resistant Nephrotic Syndrome;Nephrotic syndrome, type 12 #616892				26411495;26878725		False	3	100;0;0	5.2	True		ENSG00000102900	ENSG00000102900	HGNC:28958													
OCRL	gene	OCRL	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Lowe syndrome, OMIM:309000;Dent disease 2, OMIM:300555				21249396;17384968;27625797		False	3	100;0;0	5.2	False		ENSG00000122126	ENSG00000122126	HGNC:8108													
OSGEP	gene	OSGEP	Expert Review Green;Literature;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Galloway-Mowat syndrome 3	617729"				28805828		False	3	100;0;0	5.2	True		ENSG00000092094	ENSG00000092094	HGNC:18028													
PAX2	gene	PAX2	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Glomerulosclerosis, focal segmental, 7 #616002				26571382		False	3	100;0;0	5.2	False		ENSG00000075891	ENSG00000075891	HGNC:8616													
PDSS2	gene	PDSS2	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 3 #614652;Leigh syndrome				23926186;29032433;25349199;17186472;18437205		False	3	50;50;0	5.2	True		ENSG00000164494	ENSG00000164494	HGNC:23041													
PLCE1	gene	PLCE1	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 3 #610725;Congenital nephrotic syndrome/SRNS				20591883		False	3	100;0;0	5.2	True		ENSG00000138193	ENSG00000138193	HGNC:17175													
PODXL	gene	PODXL	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Congenital nephrotic syndrome				30523047;29244787;28117080;24048372		False	3	100;0;0	5.2	False		ENSG00000128567	ENSG00000128567	HGNC:9171													
