Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
SARS2	gene	SARS2	Expert Review Green;Literature	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis, OMIM:613845;Progressive Spastic Paresis				21255763;24034276;27279129		False	3	100;0;0	5.6	False		ENSG00000104835	ENSG00000104835	HGNC:17697													
SCNN1A	gene	SCNN1A	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Pseudohypoaldosteronism, type I, 264350;?Liddle syndrom 3, 618126;Bronchiectasis with or without elevated sweat chloride 2 613021				8589714;10586178		False	3	100;0;0	5.6	False		ENSG00000111319	ENSG00000111319	HGNC:10599													
SCNN1B	gene	SCNN1B	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Pseudohypoaldosteronism, type I, 264350				8589714;26807262;31301676;31018202		False	3	100;0;0	5.6	False		ENSG00000168447	ENSG00000168447	HGNC:10600													
SCNN1G	gene	SCNN1G	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Pseudohypoaldosteronism, type I, 264350				8640238;29582446;7550319;12473862;17634077		False	3	100;0;0	5.6	False		ENSG00000166828	ENSG00000166828	HGNC:10602													
SEC61A1	gene	SEC61A1	Expert Review Green;Literature;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	hyporeninaemic hypoaldosteronism;autosomal dominant tubulointerstitial kidney disease				33185949;30586318;27392076;31488840		False	3	100;0;0	5.6	False		ENSG00000058262	ENSG00000058262	HGNC:18276													
SLC12A1	gene	SLC12A1	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bartter syndrome, type 1, OMIM:601678;Bartter disease type 1, MONDO:0100344				8640224;32506365;26770037;27103762;8640224;9355073;28095294;32506365		False	3	100;0;0	5.6	True		ENSG00000074803	ENSG00000074803	HGNC:10910													
SLC12A3	gene	SLC12A3	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Gitelman syndrome, OMIM: 263800;Gitelman syndrome, MONDO:0009904				22009145;27604308;26770037;30999883;30847515		False	3	100;0;0	5.6	True		ENSG00000070915	ENSG00000070915	HGNC:10912													
SLC22A12	gene	SLC22A12	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypouricemia, renal, 220150				18492088		False	3	100;0;0	5.6	False		ENSG00000197891	ENSG00000197891	HGNC:17989													
SLC2A2	gene	SLC2A2	Expert list;Expert Review Green	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fanconi-Bickel syndrome, OMIM:227810				32150856;24175243;24912437		False	3	100;0;0	5.6	False		ENSG00000163581	ENSG00000163581	HGNC:11006													
SLC2A9	gene	SLC2A9	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypouricemia, renal, 2, 612076;{Uric acid concentration, serum, QTL 2}, 612076				19026395;19926891;21810765		False	3	100;0;0	5.6	False		ENSG00000109667	ENSG00000109667	HGNC:13446													
SLC4A1	gene	SLC4A1	Eligibility statement prior genetic testing;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Distal Renal Tubular Acidosis, Dominant;Ovalocytosis;Distal renal tubular acidosis;Renal tubular acidosis, distal, AD,179800;Renal tubular acidosis, distal, AR, 611590;Cryohydrocytosis, 185020;Ovalocystois, SA type 166900;Spherocytoisis type 4, 612653;various blood group associations.				9312167;9600966		False	3	100;0;0	5.6	True		ENSG00000004939	ENSG00000004939	HGNC:11027													
SLC4A4	gene	SLC4A4	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular acidosis, proximal, with ocular abnormalities, 604278;Proximal Renal Tubular Acidosis with Ocular Abnormalities;Proximal Renal Tubular Acidosis with Ocular Abnormalities (recessive). 				10545938		False	3	100;0;0	5.6	True		ENSG00000080493	ENSG00000080493	HGNC:11030													
SLC5A2	gene	SLC5A2	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Renal glucosuria, 233100				12436245;21165652;26376857		False	3	100;0;0	5.6	False		ENSG00000140675	ENSG00000140675	HGNC:11037													
TRPM6	gene	TRPM6	Expert list;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypomagnesemia 1, intestinal, 602014				12032568;12032570;23942199		False	3	100;0;0	5.6	False		ENSG00000119121	ENSG00000119121	HGNC:17995													
UMOD	gene	UMOD	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hyperuricemic nephropathy, familial juvenile 1, 162000;Glomerulocystic kidney disease with hyperuricemia and isosthenuria, 609886;Medullary cystic kidney disease 2, 603860				12471200;12629136;14570709;14569098;16883323;20172860;15983957		False	3	100;0;0	5.6	False		ENSG00000169344	ENSG00000169344	HGNC:12559													
VIPAS39	gene	VIPAS39	Expert Review;Expert Review Green	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Arthrogryposis, renal dysfunction, and cholestasis 2, OMIM:613404				20190753		False	3	100;0;0	5.6	False		ENSG00000151445	ENSG00000151445	HGNC:20347													
VPS33B	gene	VPS33B	Expert Review Green;Literature	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Arthrogryposis, renal dysfunction, and cholestasis 1, OMIM:208085				8151641;16155421;16896922		False	3	100;0;0	5.6	False		ENSG00000184056	ENSG00000184056	HGNC:12712													
WDR72	gene	WDR72	Expert Review Green;Literature;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	distal RTA;hereditary distal renal tubular acidosis;distal renal tubular acidosis, MONDO:0015827;Amelogenesis imperfecta, type IIA3, OMIM:613211;amelogenesis imperfecta hypomaturation type 2A3, MONDO:0013181				30028003;30779877;31959358;33033857		False	3	100;0;0	5.6	False		ENSG00000166415	ENSG00000166415	HGNC:26790													
WNK4	gene	WNK4	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pseudohypoaldosteronism, type IIB, 614491				11498583		False	3	100;0;0	5.6	False		ENSG00000126562	ENSG00000126562	HGNC:14544													
