PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37229630,Vitamin C Urinary Loss in Fabry Disease: Clinical and Genomic Characteristics of Vitamin C Renal Leak,"Ebenuwa I, Violet PC, Padayatty SJ, Wang Y, Tu H, Wilkins KJ, Moore DF, Eck P, Schiffmann R, Levine M.",J Nutr. 2023 Jul;153(7):1994-2003. doi: 10.1016/j.tjnut.2022.12.009. Epub 2023 Mar 10.,Ebenuwa I,J Nutr,2023,2023-05-25,PMC10375496,,10.1016/j.tjnut.2022.12.009
36949158,A genome-wide association study identifies a possible role for cannabinoid signalling in the pathogenesis of diabetic kidney disease,"Osman W, Mousa M, Albreiki M, Baalfaqih Z, Daggag H, Hill C, McKnight AJ, Maxwell AP, Al Safar H.",Sci Rep. 2023 Mar 22;13(1):4661. doi: 10.1038/s41598-023-31701-w.,Osman W,Sci Rep,2023,2023-03-23,PMC10033677,,10.1038/s41598-023-31701-w
37759214,Understanding the relationship between circulating lipids and risk of chronic kidney disease: a prospective cohort study and large-scale genetic analyses,"Wang Y, Zhang L, Zhang W, Tang M, Cui H, Wu X, Zhao X, Chen L, Yan P, Yang C, Xiao C, Zou Y, Liu Y, Zhang L, Yang C, Yao Y, Li J, Liu Z, Jiang X, Zhang B.",J Transl Med. 2023 Sep 27;21(1):671. doi: 10.1186/s12967-023-04509-5.,Wang Y,J Transl Med,2023,2023-09-27,PMC10537816,,10.1186/s12967-023-04509-5
39965361,The genomic landscape of metastatic clear-cell renal cell carcinoma and its prognostic value: a comprehensive analysis of a large real-world clinico-genomic database,"Rizzo M, Pezzicoli G, Porta C, Povero M, Pradelli L, Sicari E, Barbiero VS, Porta C.",ESMO Open. 2025 Mar;10(3):104294. doi: 10.1016/j.esmoop.2025.104294. Epub 2025 Feb 17.,Rizzo M,ESMO Open,2025,2025-02-18,PMC11876921,,10.1016/j.esmoop.2025.104294
37978231,Genetic variants of interferon-response factor 5 are associated with the incidence of chronic kidney disease: the D.E.S.I.R. study,"Fumeron F, Velho G, Alzaid F, El Boustany R, Vandiedonck C, Bonnefond A, Froguel P, Potier L, Marre M, Balkau B, Roussel R, Venteclef N.",Genes Immun. 2023 Dec;24(6):303-308. doi: 10.1038/s41435-023-00229-4. Epub 2023 Nov 17.,Fumeron F,Genes Immun,2023,2023-11-18,PMC10721545,,10.1038/s41435-023-00229-4
37037154,"Genetic impact on the association of sleep patterns and chronic kidney disease: A prospective cohort study of 157,175 UK Biobank participants","Li C, Chen Y, Zhao W, Zhang C, Tang L, Ying Z, Chen W, Fu P, Song H, Zhou X, Zeng X.",J Psychosom Res. 2023 Jun;169:111323. doi: 10.1016/j.jpsychores.2023.111323. Epub 2023 Mar 28.,Li C,J Psychosom Res,2023,2023-04-10,,,10.1016/j.jpsychores.2023.111323
38022507,Genetic evidence supporting the causal role of gut microbiota in chronic kidney disease and chronic systemic inflammation in CKD: a bilateral two-sample Mendelian randomization study,"Ren F, Jin Q, Jin Q, Qian Y, Ren X, Liu T, Zhan Y.",Front Immunol. 2023 Nov 2;14:1287698. doi: 10.3389/fimmu.2023.1287698. eCollection 2023.,Ren F,Front Immunol,2023,2023-11-29,PMC10652796,,10.3389/fimmu.2023.1287698
34354814,The diagnostic yield of whole exome sequencing as a first approach in consanguineous Omani renal ciliopathy syndrome patients,"Al Alawi I, Al Riyami M, Barroso-Gil M, Powell L, Olinger E, Al Salmi I, Sayer JA.",F1000Res. 2021 Mar 12;10:207. doi: 10.12688/f1000research.40338.2. eCollection 2021.,Al Alawi I,F1000Res,2021,2021-08-09,PMC8290205,,10.12688/f1000research.40338.2
36627639,Identification of genetic variants associated with diabetic kidney disease in multiple Korean cohorts via a genome-wide association study mega-analysis,"Jin H, Kim YA, Lee Y, Kwon SH, Do AR, Seo S, Won S, Seo JH.",BMC Med. 2023 Jan 11;21(1):16. doi: 10.1186/s12916-022-02723-4.,Jin H,BMC Med,2023,2023-01-10,PMC9832630,,10.1186/s12916-022-02723-4
33108403,The utility of urinary biomarker panel in predicting renal pathology and treatment response in Chinese lupus nephritis patients,"Liu L, Wang R, Ding H, Tian L, Gao T, Bao C.",PLoS One. 2020 Oct 27;15(10):e0240942. doi: 10.1371/journal.pone.0240942. eCollection 2020.,Liu L,PLoS One,2020,2020-10-27,PMC7591050,,10.1371/journal.pone.0240942
38152017,Prospective observational study to validate a next-generation sequencing blood RNA signature to predict early kidney transplant rejection,"Bestard O, Augustine J, Wee A, Poggio E, Mannon RB, Ansari MJ, Bhati C, Maluf D, Benken S, Leca N, La Manna G, Samaniego-Picota M, Shawar S, Concepcion BP, Rostaing L, Alberici F, O'Connell P, Chang A, Salem F, Kattan MW, Gallon L, Donovan MJ.",Am J Transplant. 2024 Mar;24(3):436-447. doi: 10.1016/j.ajt.2023.09.021. Epub 2023 Dec 7.,Bestard O,Am J Transplant,2024,2023-12-28,,,10.1016/j.ajt.2023.09.021
35603906,Cabozantinib-nivolumab sequence in metastatic renal cell carcinoma: The CABIR study,"Vano YA, Phan L, Gravis G, Korakis I, Schlürmann F, Maillet D, Bennamoun M, Houede N, Topart D, Borchiellini D, Barthelemy P, Ratta R, Ryckewaert T, Hasbini A, Hans S, Emambux S, Cournier S, Braychenko E, Elaidi RT, Oudard S.",Int J Cancer. 2022 Oct 15;151(8):1335-1344. doi: 10.1002/ijc.34126. Epub 2022 Jun 6.,Vano YA,Int J Cancer,2022,2022-05-23,PMC9541795,,10.1002/ijc.34126
33095447,Clinical application of a phenotype-based NGS panel for differential diagnosis of inherited kidney disease and beyond,"Oh J, Shin JI, Lee K, Lee C, Ko Y, Lee JS.",Clin Genet. 2021 Feb;99(2):236-249. doi: 10.1111/cge.13869. Epub 2020 Dec 7.,Oh J,Clin Genet,2021,2020-10-23,PMC7839754,,10.1111/cge.13869
34521993,Eosinophilic vacuolated tumor (EVT) of kidney demonstrates sporadic TSC/MTOR mutations: next-generation sequencing multi-institutional study of 19 cases,"Farcaş M, Gatalica Z, Trpkov K, Swensen J, Zhou M, Alaghehbandan R, Williamson SR, Magi-Galluzzi C, Gill AJ, Tretiakova M, Lopez JI, Montiel DP, Sperga M, Comperat E, Brimo F, Yilmaz A, Siadat F, Sangoi A, Gao Y, Ptákova N, Kuthi L, Pivovarcikova K, Rogala J, Agaimy A, Hartmann A, Fraune C, Rychly B, Hurnik P, Durcansky D, Bonert M, Gakis G, Michal M, Hora M, Hes O.",Mod Pathol. 2022 Mar;35(3):344-351. doi: 10.1038/s41379-021-00923-6. Epub 2021 Sep 14.,Farcaş M,Mod Pathol,2022,2021-09-15,,,10.1038/s41379-021-00923-6
36688940,Genetic testing in children with nephrolithiasis and nephrocalcinosis,"Gefen AM, Sethna CB, Cil O, Perwad F, Schoettler M, Michael M, Angelo JR, Safdar A, Amlie-Wolf L, Hunley TE, Ellison JS, Feig D, Zaritsky J.",Pediatr Nephrol. 2023 Aug;38(8):2615-2622. doi: 10.1007/s00467-023-05879-0. Epub 2023 Jan 23.,Gefen AM,Pediatr Nephrol,2023,2023-01-23,PMC11071637,NIHMS1987406,10.1007/s00467-023-05879-0
35980750,TSC/MTOR -associated Eosinophilic Renal Tumors Exhibit a Heterogeneous Clinicopathologic Spectrum : A Targeted Next-generation Sequencing and Gene Expression Profiling Study,"Xia QY, Wang XT, Zhao M, He HY, Fang R, Ye SB, Li R, Wang X, Zhang RS, Lu ZF, Ma HH, Wang ZY, Rao Q.",Am J Surg Pathol. 2022 Nov 1;46(11):1562-1576. doi: 10.1097/PAS.0000000000001955. Epub 2022 Aug 19.,Xia QY,Am J Surg Pathol,2022,2022-08-18,,,10.1097/PAS.0000000000001955
34946941,A Custom Target Next-Generation Sequencing 70-Gene Panel and Replication Study to Identify Genetic Markers of Diabetic Kidney Disease,"Mota-Zamorano S, González LM, Robles NR, Valdivielso JM, Cancho B, López-Gómez J, Gervasini G.",Genes (Basel). 2021 Dec 15;12(12):1992. doi: 10.3390/genes12121992.,Mota-Zamorano S,Genes (Basel),2021,2021-12-24,PMC8702126,,10.3390/genes12121992
31646670,Genome-wide screening and cohorts validation identifying novel lncRNAs as prognostic biomarkers for clear cell renal cell carcinoma,"Zhang C, Huang D, Liu A, Xu Y, Na R, Xu D.",J Cell Biochem. 2020 Mar;121(3):2559-2570. doi: 10.1002/jcb.29478. Epub 2019 Oct 23.,Zhang C,J Cell Biochem,2020,2019-10-25,,,10.1002/jcb.29478
34545573,Clinical and genetic factors are associated with kidney complications in African children with sickle cell anaemia,"Adebayo OC, Betukumesu DK, Nkoy AB, Adesoji OM, Ekulu PM, Van den Heuvel LP, Levtchenko EN, Labarque V.",Br J Haematol. 2022 Jan;196(1):204-214. doi: 10.1111/bjh.17832. Epub 2021 Sep 20.,Adebayo OC,Br J Haematol,2022,2021-09-21,,,10.1111/bjh.17832
39333970,Multi-sequence MRI-based radiomics model to preoperatively predict the WHO/ISUP grade of clear Cell Renal Cell Carcinoma: a two-center study,"Chen R, Su Q, Li Y, Shen P, Zhang J, Tan Y.",BMC Cancer. 2024 Sep 27;24(1):1176. doi: 10.1186/s12885-024-12930-2.,Chen R,BMC Cancer,2024,2024-09-28,PMC11438199,,10.1186/s12885-024-12930-2
34134020,Wilms tumour surveillance in at-risk children: Literature review and recommendations from the SIOP-Europe Host Genome Working Group and SIOP Renal Tumour Study Group,"Hol JA, Jewell R, Chowdhury T, Duncan C, Nakata K, Oue T, Gauthier-Villars M, Littooij AS, Kaneko Y, Graf N, Bourdeaut F, van den Heuvel-Eibrink MM, Pritchard-Jones K, Maher ER, Kratz CP, Jongmans MCJ.",Eur J Cancer. 2021 Aug;153:51-63. doi: 10.1016/j.ejca.2021.05.014. Epub 2021 Jun 13.,Hol JA,Eur J Cancer,2021,2021-06-16,,,10.1016/j.ejca.2021.05.014
34565606,Hypertensive Diseases in Pregnancy and Kidney Function Later in Life: The Genetic Epidemiology Network of Arteriopathy (GENOA) Study,"Oshunbade AA, Lirette ST, Windham BG, Shafi T, Hamid A, Gbadamosi SO, Tin A, Yimer WK, Tibuakuu M, Clark D 3rd, Kamimura D, Lutz EA, Mentz RJ, Fox ER, Butler J, Butler KR, Garovic VD, Turner ST, Mosley TH Jr, Hall ME.",Mayo Clin Proc. 2022 Jan;97(1):78-87. doi: 10.1016/j.mayocp.2021.07.018. Epub 2021 Sep 24.,Oshunbade AA,Mayo Clin Proc,2022,2021-09-27,PMC9031057,NIHMS1796631,10.1016/j.mayocp.2021.07.018
